name;a;b;date
Fuenteguinaldo;0;13087;2020-08-01
El Payo;0;5702;2020-08-01
Galinduste;0;6256;2020-08-01
Tenebrón;0;2479;2020-08-01
Arapiles;0;6990;2020-08-01
Moronta;0;3459;2020-08-01
Alba de Tormes;690;25350;2020-08-01
Galindo y Perahuy;0;18593;2020-08-01
Cespedosa de Tormes;0;7818;2020-08-01
La Vellés;0;5452;2020-08-01
Doñinos de Ledesma;0;2257;2020-08-01
Gallegos de Solmirón;0;3573;2020-08-01
Cantalpino;0;11299;2020-08-01
Pedrosillo de los Aires;0;8144;2020-08-01
Chagarcía Medianero;0;2379;2020-08-01
San Pedro de Rozados;0;4037;2020-08-01
La Tala;0;3362;2020-08-01
